"intGlCode","Fk_Licence","FK_Licence_Type","varTitle","chrFileFlag","varFile","varFileUrl","intDisplayOrder","chrDelete","chrPublish","dtCreateDate","dtModifyDate","varIpAddress","PUserGlCode","varAdminReview"
"45","8","1","View Amendment #6 (Allocation of 10GHz Spectrum)","U","ViewAmendment6_1417642675.pdf",NULL,"7","N","Y","2014-12-03 03:37:55","2016-10-21 04:49:44","179.218.172.243","1",NULL
"46","8","1","View Amendment #7 (Allocation of 10GHz Spectrum)","U","ViewAmendment7_1417642682.pdf",NULL,"8","N","Y","2014-12-03 03:38:02","2016-10-21 04:51:28","179.218.172.243","1",NULL
"47","8","1","View Amendment #8 (Allocation of 10GHz & 11GHz Spectrum)","U","ViewAmendment8_1417642692.pdf",NULL,"9","N","Y","2014-12-03 03:38:12","2016-10-21 04:52:18","179.218.172.243","1",NULL
"48","8","1","View Amendment #9 (Amend 10GHz Spectrum Allocations)","U","ViewAmendment9_1417642699.pdf",NULL,"10","N","Y","2014-12-03 03:38:19","2016-10-21 04:54:18","179.218.172.243","1",NULL
"49","8","1","View Amendment #10 (Amend 5GHz Spectrum Allocation)","U","ViewAmendment10_1417642707.pdf",NULL,"11","N","Y","2014-12-03 03:38:27","2016-10-21 04:55:30","179.218.172.243","1",NULL
"50","8","1","View Amendment #11 (Surrender of 11GHz Spectrum)","U","ViewAmendment11_1417642714.pdf",NULL,"12","N","Y","2014-12-03 03:38:34","2016-10-21 04:56:37","179.218.172.243","1",NULL
"51","8","1","View Amendment #12 (Surrender 1 NXX)","U","ViewAmendment12_1417642722.pdf",NULL,"13","N","Y","2014-12-03 03:38:42","2016-10-21 04:57:38","179.218.172.243","1",NULL
"52","8","1","View Amendment #13 (Surrender part 10GHz Spectrum, Surrender 12GHz and 14GHz Spectrum)","U","ViewAmendment13_1417642729.pdf",NULL,"14","N","Y","2014-12-03 03:38:49","2016-10-21 04:59:33","179.218.172.243","1",NULL
"53","8","1","View Amendment #14 (Amend Annex 2)","U","ViewAmendment14_1417642737.pdf",NULL,"15","N","Y","2014-12-03 03:38:57","2016-10-21 05:00:57","179.218.172.243","1",NULL
"54","9","1","View Licence document","U","ViewLicencedocument_1417643403.pdf",NULL,"1","N","Y","2014-12-03 03:50:03","2014-12-03 03:50:03","27.54.170.98","1",NULL
"55","9","1","View Amendment #1 (Allocation of 174MHz & 800MHz Spectrum)","U","ViewAmendment1_1417643425.pdf",NULL,"2","N","Y","2014-12-03 03:50:25","2016-10-21 05:13:35","179.218.172.243","1",NULL
"56","9","1","View Amendment #2 (Amend Annex 2)","U","ViewAmendment2_1417643440.pdf",NULL,"3","N","Y","2014-12-03 03:50:40","2016-10-21 05:14:26","179.218.172.243","1",NULL
"57","10","1","View Licence document","U","ViewLicencedocument_1417643832.pdf",NULL,"1","N","Y","2014-12-03 03:57:12","2014-12-03 03:57:12","27.54.170.98","1",NULL
"58","10","2","View old Licence document","U","ViewoldLicencedocument_1417643859.pdf",NULL,"1","N","Y","2014-12-03 03:57:39","2014-12-03 03:57:39","27.54.170.98","1",NULL
"59","10","2","View old Amendment #1 (Allocation of 88.7MHz Spectrum)","U","ViewoldAmendment1_1417643881.pdf",NULL,"2","N","Y","2014-12-03 03:58:01","2016-10-25 05:05:30","179.218.172.243","1",NULL
"60","10","2","View old Amendment #2 (Allocation of 166.67MHz & 166.7MHz Spectrum)","U","ViewoldAmendment2_1417643898.pdf",NULL,"3","N","Y","2014-12-03 03:58:18","2016-10-25 05:06:55","179.218.172.243","1",NULL
"61","10","2","View old Amendment #3 (Extend Licence)","U","ViewoldAmendment3_1417643915.pdf",NULL,"4","N","Y","2014-12-03 03:58:35","2016-10-25 05:08:07","179.218.172.243","1",NULL
"62","11","1","View Licence document","U","ViewLicencedocument_1417644190.pdf",NULL,"1","N","Y","2014-12-03 04:03:10","2014-12-03 04:03:10","27.54.170.98","1",NULL
"63","11","1","View Amendment #1 (Amend Annex 2)","U","ViewAmendment1_1417644208.pdf",NULL,"2","N","Y","2014-12-03 04:03:28","2016-10-25 05:14:12","179.218.172.243","1",NULL
"64","11","2","View old Licence document","U","ViewoldLicencedocument_1417644224.pdf",NULL,"1","N","Y","2014-12-03 04:03:44","2014-12-03 04:03:44","27.54.170.98","1",NULL
"65","11","2","View old Amendment #1 (Allocation of 94.9MHz Spectrum)","U","ViewoldAmendment1_1417644234.pdf",NULL,"2","N","Y","2014-12-03 04:03:54","2016-10-25 05:11:58","179.218.172.243","1",NULL
"66","11","2","View old Amendment #2 (Allocation of 952.5MHz Spectrum)","U","ViewoldAmendment2_1417644243.pdf",NULL,"3","N","Y","2014-12-03 04:04:03","2016-10-25 05:12:55","179.218.172.243","1",NULL
"67","11","2","View old Amendment #3 (Extend Licence)","U","ViewoldAmendment3_1417644253.pdf",NULL,"4","N","Y","2014-12-03 04:04:13","2016-10-25 05:13:36","179.218.172.243","1",NULL
"68","12","1","View Licence document","U","ViewLicencedocument_1417644454.pdf",NULL,"1","N","Y","2014-12-03 04:07:34","2014-12-03 04:07:34","27.54.170.98","1",NULL
"69","12","1","View Amendment #1 (Amend Annex 2)","U","ViewAmendment1_1417644474.pdf",NULL,"2","N","Y","2014-12-03 04:07:54","2016-10-25 05:09:50","179.218.172.243","1",NULL
"70","12","2","View old Licence document","U","ViewoldLicencedocument_1417644508.pdf",NULL,"40","N","Y","2014-12-03 04:08:28","2014-12-03 04:08:28","27.54.170.98","1",NULL
"71","13","1","View Licence document","U","ViewLicencedocument_1417644766.pdf",NULL,"1","N","Y","2014-12-03 04:12:46","2014-12-03 04:12:46","27.54.170.98","1",NULL
"72","13","1","View Amendment #1 (Allocation of 951.5MHz Spectrum)","U","ViewAmendment1_1417644783.pdf",NULL,"2","N","Y","2014-12-03 04:13:03","2016-10-25 05:02:42","179.218.172.243","1",NULL
"73","14","1","View Licence document","U","ViewLicencedocument_1417645069.pdf",NULL,"1","N","Y","2014-12-03 04:17:49","2014-12-03 04:17:49","27.54.170.98","1",NULL
"74","14","1","View Amendment #1 (Surrender 951.5MHz Spectrum)","U","ViewAmendment1_1417645095.pdf",NULL,"2","N","Y","2014-12-03 04:18:15","2016-10-25 04:55:00","179.218.172.243","1",NULL
"75","14","1","View Amendment #2 (Amend Annex 2)","U","ViewAmendment2_1417645106.pdf",NULL,"3","N","Y","2014-12-03 04:18:26","2016-10-25 04:55:41","179.218.172.243","1",NULL
"76","14","2","View old Licence document","U","ViewoldLicencedocument_1417645122.pdf",NULL,"1","N","Y","2014-12-03 04:18:42","2014-12-03 04:18:42","27.54.170.98","1",NULL
"77","14","2","View old Amendment #1 (Allocation of 103.1MHz Spectrum)","U","ViewoldAmendment1_1417645133.pdf",NULL,"2","N","Y","2014-12-03 04:18:53","2016-10-25 04:45:19","179.218.172.243","1",NULL
"78","14","2","View old Amendment #2 (Extend Roll Out Schedule by 4 months)","U","ViewoldAmendment2_1417645139.pdf",NULL,"3","N","Y","2014-12-03 04:18:59","2016-10-25 04:46:19","179.218.172.243","1",NULL
"79","14","2","View old Amendment #3 (Allocation of 95.7MHz Spectrum, Surrender 103.1MHz Spectrum)","U","ViewoldAmendment3_1417645148.pdf",NULL,"4","N","Y","2014-12-03 04:19:08","2016-10-25 04:47:47","179.218.172.243","1",NULL
"80","14","2","View old Amendment #4 (Allocation of 951.5MHz & 954.5MHz Spectrum, Surrender 948.0MHz Spectrum)","U","ViewoldAmendment4_1417645155.pdf",NULL,"5","N","Y","2014-12-03 04:19:15","2016-10-25 04:51:49","179.218.172.243","1",NULL
"81","14","2","View old Amendment #5 (Surrender 95.7MHz Spectrum)","U","ViewoldAmendment5_1417645167.pdf",NULL,"6","N","Y","2014-12-03 04:19:27","2016-10-25 04:52:59","179.218.172.243","1",NULL
"82","15","1","View Licence document","U","ViewLicencedocument_1417645398.pdf",NULL,"1","N","Y","2014-12-03 04:23:18","2014-12-03 04:23:18","27.54.170.98","1",NULL
"83","15","1","View Amendment #1 (Allocation of 465.0MHz Spectrum)","U","ViewAmendment1_1417645413.pdf",NULL,"2","N","Y","2014-12-03 04:23:33","2016-10-25 04:42:13","179.218.172.243","1",NULL
"84","15","1","View Amendment #2 (Amend Annex 2)","U","ViewAmendment2_1417645420.pdf",NULL,"3","N","Y","2014-12-03 04:23:40","2016-10-25 04:42:44","179.218.172.243","1",NULL
"85","15","2","View old Licence document","U","ViewoldLicencedocument_1417645437.pdf",NULL,"1","N","Y","2014-12-03 04:23:57","2014-12-03 04:23:57","27.54.170.98","1",NULL
